session_date,channel_id,sessions,add_to_carts,checkouts,conversions
2026-05-14,3,761,118,65,34
2026-05-14,4,864,90,42,41
2026-05-14,5,694,101,60,18
2026-05-14,6,1244,139,77,45
2026-05-15,1,1976,281,141,73
2026-05-15,2,1413,166,91,41
2026-05-15,3,799,100,50,36
2026-05-15,4,906,110,54,40
2026-05-15,5,541,75,42,13
2026-05-15,6,1119,124,57,35
2026-05-16,1,1765,210,114,60
2026-05-16,2,1705,217,119,47
2026-05-16,3,785,105,56,40
2026-05-16,4,934,138,65,40
2026-05-16,5,635,88,47,16
2026-05-16,6,1492,236,134,60
2026-05-17,1,2259,280,155,70
2026-05-17,2,1749,204,92,60
2026-05-17,3,680,72,36,37
2026-05-17,4,988,144,83,42
2026-05-17,5,661,97,50,16
2026-05-17,6,1207,183,92,50
2026-05-18,1,1611,206,102,57
2026-05-18,2,1727,230,122,57
2026-05-18,3,763,87,41,40
2026-05-18,4,969,109,62,34
2026-05-18,5,682,73,42,18
2026-05-18,6,1359,147,68,53
2026-05-19,1,1836,208,117,63
2026-05-19,2,1496,235,129,45
2026-05-19,3,836,115,57,36
2026-05-19,4,857,120,61,36
2026-05-19,5,686,82,41,21
2026-05-19,6,1254,141,78,40
2026-05-20,1,1610,227,109,63
2026-05-20,2,1484,149,71,37
2026-05-20,3,918,132,71,43
2026-05-20,4,788,82,48,35
2026-05-20,5,680,107,60,18
2026-05-20,6,990,152,73,40
2026-05-21,1,2175,229,104,78
2026-05-21,2,1532,224,116,50
2026-05-21,3,703,95,44,29
2026-05-21,4,1032,156,87,47
2026-05-21,5,591,72,35,15
2026-05-21,6,1368,137,68,49
2026-05-22,1,1668,221,127,65
2026-05-22,2,1740,276,144,47
2026-05-22,3,651,72,40,36
2026-05-22,4,1008,144,76,38
2026-05-22,5,661,101,59,17
2026-05-22,6,1385,183,82,61
2026-05-23,1,2156,297,172,76
2026-05-23,2,1799,184,102,48
2026-05-23,3,833,128,76,36
2026-05-23,4,1029,107,55,38
2026-05-23,5,649,70,40,20
2026-05-23,6,1300,167,77,45
2026-05-24,1,2219,284,141,65
2026-05-24,2,1565,246,142,46
2026-05-24,3,667,82,42,32
2026-05-24,4,832,129,76,39
2026-05-24,5,510,53,28,15
2026-05-24,6,1131,117,54,50
2026-05-25,1,1712,200,107,49
2026-05-25,2,1314,148,86,43
2026-05-25,3,724,98,57,33
2026-05-25,4,772,82,44,27
2026-05-25,5,611,90,52,13
2026-05-25,6,1222,153,74,48
2026-05-26,1,1975,244,114,77
2026-05-26,2,1644,174,78,42
2026-05-26,3,653,82,40,28
2026-05-26,4,852,130,66,30
2026-05-26,5,616,93,43,16
2026-05-26,6,1234,153,89,41
2026-05-27,1,1480,210,105,57
2026-05-27,2,1606,253,136,40
2026-05-27,3,632,68,32,33
2026-05-27,4,944,108,50,45
2026-05-27,5,489,73,42,15
2026-05-27,6,1077,161,78,46
2026-05-28,1,1778,259,147,68
2026-05-28,2,1552,195,100,44
2026-05-28,3,814,93,49,41
2026-05-28,4,851,128,66,40
2026-05-28,5,466,58,30,12
2026-05-28,6,1070,154,75,39
2026-05-29,1,1534,192,98,58
2026-05-29,2,1564,207,93,39
2026-05-29,3,748,96,44,33
2026-05-29,4,760,92,48,36
2026-05-29,5,558,78,36,14
2026-05-29,6,1089,141,63,40
2026-05-30,1,1427,201,90,56
2026-05-30,2,1439,198,106,42
2026-05-30,3,633,64,35,26
2026-05-30,4,957,145,69,38
2026-05-30,5,567,64,35,17
2026-05-30,6,1007,123,59,38
2026-05-31,1,1638,223,126,46
2026-05-31,2,1390,202,96,37
2026-05-31,3,723,99,55,40
2026-05-31,4,882,105,61,37
2026-05-31,5,442,53,28,11
2026-05-31,6,1250,152,89,47
2026-06-01,1,1444,183,90,42
2026-06-01,2,1504,168,95,41
2026-06-01,3,569,60,30,24
2026-06-01,4,773,120,68,27
2026-06-01,5,426,64,34,9
2026-06-01,6,950,151,74,30
2026-06-02,1,1888,283,146,66
2026-06-02,2,1672,225,111,46
2026-06-02,3,580,77,37,24
2026-06-02,4,826,92,45,32
2026-06-02,5,457,49,26,13
2026-06-02,6,1257,149,82,49
2026-06-03,1,1486,179,94,58
2026-06-03,2,1703,224,110,44
2026-06-03,3,766,96,47,39
2026-06-03,4,873,126,70,37
2026-06-03,5,593,60,35,14
2026-06-03,6,865,115,59,34
2026-06-04,1,1625,165,97,47
2026-06-04,2,1226,156,87,41
2026-06-04,3,637,95,44,27
2026-06-04,4,917,132,70,36
2026-06-04,5,592,72,36,16
2026-06-04,6,927,121,70,31
2026-06-05,1,1697,225,120,66
2026-06-05,2,1266,201,91,37
2026-06-05,3,701,96,46,38
2026-06-05,4,958,99,51,35
2026-06-05,5,426,47,21,10
2026-06-05,6,1239,159,82,43
2026-06-06,1,1503,238,142,58
2026-06-06,2,1178,185,96,35
2026-06-06,3,688,83,43,38
2026-06-06,4,738,76,35,31
2026-06-06,5,578,81,42,17
2026-06-06,6,1228,145,66,42
2026-06-07,1,1671,178,97,65
2026-06-07,2,1601,243,117,46
2026-06-07,3,727,83,38,32
2026-06-07,4,834,127,66,39
2026-06-07,5,395,58,31,11
2026-06-07,6,1158,156,86,47
2026-06-08,1,1704,179,93,61
2026-06-08,2,1199,190,108,32
2026-06-08,3,773,81,47,40
2026-06-08,4,840,112,65,30
2026-06-08,5,397,59,27,11
2026-06-08,6,889,116,62,30
2026-06-09,1,1702,234,114,48
2026-06-09,2,1206,186,89,39
2026-06-09,3,535,73,42,25
2026-06-09,4,875,93,49,32
2026-06-09,5,395,62,35,10
2026-06-09,6,1004,125,71,32
2026-06-10,1,1301,195,100,39
2026-06-10,2,1438,145,69,45
2026-06-10,3,572,60,33,31
2026-06-10,4,898,116,59,32
2026-06-10,5,528,83,45,16
2026-06-10,6,1116,163,97,38
2026-06-11,1,1867,247,139,66
2026-06-11,2,1310,156,80,38
2026-06-11,3,528,74,35,25
2026-06-11,4,907,94,53,36
2026-06-11,5,535,79,38,12
2026-06-11,6,922,117,65,30
2026-06-12,1,1732,246,128,51
2026-06-12,2,1623,164,92,54
2026-06-12,3,564,59,32,28
2026-06-12,4,653,99,57,29
2026-06-12,5,476,62,35,14
2026-06-12,6,922,113,56,36
2026-06-13,1,1809,193,109,61
2026-06-13,2,1322,193,92,43
2026-06-13,3,594,81,46,33
2026-06-13,4,703,78,40,24
2026-06-13,5,411,53,30,11
2026-06-13,6,1013,108,56,36
2026-06-14,1,1282,134,75,49
2026-06-14,2,1539,185,90,49
2026-06-14,3,610,90,45,32
2026-06-14,4,792,94,51,38
2026-06-14,5,466,55,25,13
2026-06-14,6,911,100,47,34
2026-06-15,1,1385,196,110,46
2026-06-15,2,1259,183,99,31
2026-06-15,3,617,64,33,29
2026-06-15,4,612,62,33,27
2026-06-15,5,374,45,26,10
2026-06-15,6,1096,165,90,40
2026-06-16,1,1547,193,107,44
2026-06-16,2,1321,180,87,37
2026-06-16,3,691,80,40,39
2026-06-16,4,861,91,46,40
2026-06-16,5,381,39,20,11
2026-06-16,6,1027,151,68,41
2026-06-17,1,1465,184,96,42
2026-06-17,2,1084,126,66,33
2026-06-17,3,622,98,49,32
2026-06-17,4,820,124,72,32
2026-06-17,5,518,72,41,14
2026-06-17,6,853,113,64,37
2026-06-18,1,1214,157,75,36
2026-06-18,2,1086,112,60,32
2026-06-18,3,630,96,56,28
2026-06-18,4,846,116,69,37
2026-06-18,5,431,52,25,11
2026-06-18,6,857,92,50,29
2026-06-19,1,1253,134,80,47
2026-06-19,2,1178,157,84,36
2026-06-19,3,608,73,38,27
2026-06-19,4,593,88,44,27
2026-06-19,5,453,52,24,11
2026-06-19,6,1036,140,67,37
2026-06-20,1,1298,152,78,37
2026-06-20,2,1314,182,96,41
2026-06-20,3,495,56,26,21
2026-06-20,4,628,92,49,24
2026-06-20,5,411,57,29,10
2026-06-20,6,922,116,56,29
2026-06-21,1,1669,254,144,47
2026-06-21,2,1335,147,76,35
2026-06-21,3,629,99,56,26
2026-06-21,4,645,84,44,29
2026-06-21,5,505,61,35,13
2026-06-21,6,1025,114,55,37
2026-06-22,1,1329,166,99,44
2026-06-22,2,1324,182,104,44
2026-06-22,3,504,70,40,28
2026-06-22,4,631,83,43,30
2026-06-22,5,444,61,33,10
2026-06-22,6,775,90,49,25
2026-06-23,1,1234,134,75,36
2026-06-23,2,1032,154,85,35
2026-06-23,3,532,73,42,24
2026-06-23,4,667,98,45,31
2026-06-23,5,438,69,40,11
2026-06-23,6,785,90,46,33
2026-06-24,1,1354,216,121,45
2026-06-24,2,1448,152,80,36
2026-06-24,3,500,74,39,26
2026-06-24,4,855,123,67,38
2026-06-24,5,446,67,34,10
2026-06-24,6,1011,142,65,37
2026-06-25,1,1230,180,81,46
2026-06-25,2,1407,203,93,40
2026-06-25,3,668,87,44,34
2026-06-25,4,580,67,38,25
2026-06-25,5,497,73,33,11
2026-06-25,6,798,121,66,26
2026-06-26,1,1596,192,99,58
2026-06-26,2,1224,154,83,40
2026-06-26,3,660,73,33,36
2026-06-26,4,755,90,48,37
2026-06-26,5,494,61,29,14
2026-06-26,6,785,95,54,26
2026-06-27,1,1668,260,145,59
2026-06-27,2,1301,157,82,34
2026-06-27,3,670,96,46,28
2026-06-27,4,689,106,53,29
2026-06-27,5,377,46,21,9
2026-06-27,6,835,125,67,30
2026-06-28,1,1343,180,83,45
2026-06-28,2,1200,180,97,40
2026-06-28,3,480,75,44,21
2026-06-28,4,807,82,41,30
2026-06-28,5,419,44,20,9
2026-06-28,6,894,110,62,28
2026-06-29,1,1746,192,97,51
2026-06-29,2,1426,167,86,42
2026-06-29,3,560,76,45,27
2026-06-29,4,825,101,48,38
2026-06-29,5,444,63,34,10
2026-06-29,6,1013,117,53,37
2026-06-30,1,1679,183,94,54
2026-06-30,2,1116,139,80,30
2026-06-30,3,591,79,46,25
2026-06-30,4,714,76,34,25
2026-06-30,5,516,78,42,15
2026-06-30,6,1101,132,66,46
